fault_name,X,Y,Z,gx,gy,gz
Kunanalling Fault,325759.5592012693,6574630.738936096,-4068.7680555555553,-0.4598867993790322,-0.3362454291493802,-0.8218534803315363
Ida Fault,281825.1270903786,6595975.051207576,-19118.905,0.4556718788897824,0.1292750370072646,0.8659167546449202
Bullabulling North Fault,288597.4655463545,6618661.815234778,-6250.689,0.3522451986964877,0.1024731821579024,0.9170712457972
Bulla_Abut_North,291113.1185170776,6597520.0540117705,410.6224472727272,0.0,-0.9966460979115868,0.0030713992346908
Bullabulling South Fault,300390.0297435311,6573091.566578882,-6250.689,0.3522451986964877,0.1024731821579024,0.9170712457972
Bulla_Abut_South,298395.37318753987,6581799.853268485,404.5894427777778,0.0,0.0436092213154646,0.0013076933954022
Zuleika Fault,336167.4439145616,6581424.788641609,-3475.7612500000005,-0.3879650680706753,-0.2031001755993587,-0.8990180335390531
MtMonger Fault,377066.12336778577,6600120.891728738,347.83,0.3807031655377854,0.1354951077252978,-0.9147164454255864
Kanowna Fault,346826.42400104384,6627377.939581341,-6363.455172413793,0.1990867751182306,0.5709891609008474,-0.7964520287542554
Boorara Fault,360094.1605509483,6592193.258691567,-4751.938857142857,0.427567365205158,0.1915233642516974,-0.8834619115486703
Boorara Fault,360094.1605509483,6592193.258691567,-4751.938857142857,0.4275673651850403,0.1915233642379018,-0.8834619115613974
Black Flag Fault,332297.7383433957,6623995.222439265,-1833.5426315789468,0.9140722025486652,-0.197922411112036,0.16937777703196
Speedway Fault,376020.315619637,6531359.340298329,-3504.78,0.7337260107578787,0.3665619349490965,-0.5720825893030687
Tramways Fault,389512.0186095061,6515981.587584983,-2947.2872727272725,-0.2923065176162879,0.3505748452745758,-0.889749502736442
Boulder Lefroy Fault,354301.6965806934,6594128.128194142,-6485.623432835822,0.40761702070253436,0.24474374741753385,-0.8797436345513459
Abattoir East Fault,353424.70029723813,6586669.766736316,-4144.702272727272,0.6511118729228761,0.21895828205472695,-0.7267121848837456
Abattoir West Fault,350797.1014889561,6586791.171900013,-3133.164468085107,0.7199383783541283,0.22392947551793732,-0.6569203310654111
